water_body_name,water_body_longitude,water_body_latitude,country_code,province_code,closest_city,distance
Allan Lake,-116.06145,54.93899,CAN,AB,Driftpile,47.9
Allday Lake,-111.45388,54.18618,CAN,AB,Mallaig,6.6
Allison Lake,-114.60324,49.67215,CAN,AB,Sentinel,4.5
Alma Lake,-110.40011,53.77972,CAN,AB,Frog Lake,5.9
Alpha Lake,-115.2538,53.77295,CAN,AB,Ronan,7.3
Alvena Lake,-110.19498,52.67841,CAN,AB,Chauvin,4
Amadou Lake,-112.90669,55.37164,CAN,AB,Calling Lake,25.4
Amethyst Lakes,-118.27409,52.70014,CAN,AB,Geikie,18.5
Amisk Lake,-112.63628,54.59751,CAN,AB,Caslan,8.9
Anderson Lake,-119.24554,55.33923,CAN,AB,Poplar Hill,4
Andrew Lake,-110.11542,59.89582,CAN,AB,Fitzgerald,83.2
Angle Lake,-110.97552,53.73778,CAN,AB,Derwent,9.8
Angling Lake,-110.32797,54.20085,CAN,AB,Beaverdam,1.3
Annabel Lake,-116.72045,53.53201,CAN,AB,Hornbeck,2.7
Annette Lake,-118.04808,52.9019,CAN,AB,Jasper Park Lodge,1.9
Ansell Lake,-113.10154,54.50565,CAN,AB,Kinikinik,10.9
Antler Lake,-113.37697,57.54852,CAN,AB,Chipewyan Lake,67.9
Antler Lake,-112.98192,53.49581,CAN,AB,Uncas,2.7
Antoine Lake,-112.08472,54.76529,CAN,AB,Lac La Biche Mission,6.5
Arcand Lake,-110.78849,53.10598,CAN,AB,Wildmere,4.1
Arch Lake,-110.63421,59.86116,CAN,AB,Fitzgerald,54.2
Archer Lake,-110.34137,58.11005,CAN,AB,Jackfish,48.1
Archie Lake,-115.0771,54.68779,CAN,AB,Swan Hills,21.1
Arm Lake,-110.58862,52.74685,CAN,AB,Heath,6
Armitages Lake,-110.41365,51.28036,CAN,AB,Benton Station,8.8
Armstrong Lake,-113.64548,54.38969,CAN,AB,Analta,3.9
Arnault Lake,-114.7364,53.70478,CAN,AB,Lake Isle,6.4
Arrowhead Lake,-113.63413,59.68631,CAN,AB,Jackfish River,87.7
Arthur Lake,-114.64755,53.76623,CAN,AB,Cherhill,6.2
Arthur Lake,-113.1525,54.5319,CAN,AB,Kinikinik,11.1
Artisinn Lake,-115.36619,56.09507,CAN,AB,Atikameg,26.6
Ash Lake,-116.14966,54.19247,CAN,AB,Windfall,4.1
Ashland Reservoir,-114.40822,53.14748,CAN,AB,Keystone,1.7
Ashton Lake,-110.41397,59.83589,CAN,AB,Fitzgerald,66.6
Aster Lake,-115.21091,50.57837,CAN,AB,Kovach,39.5
Astotin Lake,-112.85383,53.679,CAN,AB,Sandy Beach,1.7
Atihk Sakahikun,-115.48383,58.73898,CAN,AB,John DOr Prairie,33.3
Audet Lake,-110.91009,57.64829,CAN,AB,Point Brule,48.6
Auger Lake,-112.52081,54.72127,CAN,AB,Frains,7.7
Azure Lake,-119.00175,53.45776,CAN,AB,Grande Cache,48.5
Badger Lake,-112.45916,50.38889,CAN,AB,Lomond,13.6
Bailey Lake,-110.17021,59.94589,CAN,AB,Fitzgerald,80.6
Bailey Lakes,-112.8904,53.55252,CAN,AB,North Cooking Lake,10.6
Baird Lake,-114.40814,54.33951,CAN,AB,Neerlandia,3
Baker Lake,-110.12026,56.43448,CAN,AB,Christina Crossing,28.5
Baker Lake,-116.04023,51.49143,CAN,AB,Lake Louise,12.2
Baker Lake,-110.25035,53.03463,CAN,AB,Paradise Valley,3
Balmoral Lake,-114.75316,51.10083,CAN,AB,Cheneka,9.1
Banana Lake,-113.83838,54.72017,CAN,AB,Sylvan Glen,18.6
Bangs Lake,-111.03288,54.15554,CAN,AB,Rife,3.5
Baptiste Lake,-113.55401,54.75537,CAN,AB,Baptiste Lake,2
Barbara Lake,-110.86723,54.52862,CAN,AB,Iron River,10.1
Barber Lake,-110.86066,58.1043,CAN,AB,Point Brule,29.6
Bard Lake,-114.02609,53.81796,CAN,AB,Stettin,3.6
Bare Creek Reservoir,-110.4025,49.43916,CAN,AB,Bain,18.4
Baril Lake,-111.68234,58.76662,CAN,AB,Sweetgrass Landing,22.4
Barnett Lake,-113.74513,52.48878,CAN,AB,College Heights,0.8
Barnett Lake,-113.2316,51.07047,CAN,AB,Hamlet,10.1
Barreyre Lake,-110.68921,54.27608,CAN,AB,Durlingville,2.3
Barrier Lake,-115.06425,51.02375,CAN,AB,Lac des Arcs,7.2
Barrow Lake,-111.21551,59.25239,CAN,AB,Hay Camp,33.5
Bartman Reservoir,-111.45623,51.10499,CAN,AB,Pollockville,9.4
Barton Lake,-114.5638,54.03503,CAN,AB,Stewartfield,1.4
Base Lake,-111.84236,55.64926,CAN,AB,Mariana Lake,35.6
Baseline Lake,-113.23427,56.68006,CAN,AB,Chipewyan Lake,32.4
Baseline Lake,-115.9131,54.23412,CAN,AB,Whitecourt,18.1
Bassano Reservoir,-112.5452,50.75777,CAN,AB,Bassano,6.3
Basset Lake,-118.48482,58.32031,CAN,AB,Assumption,43.8
Bat Lake,-114.95859,56.29518,CAN,AB,Red Earth Creek,33.9
Bates Lake,-110.02297,54.20576,CAN,AB,Cherry Grove,17.1
Battle Lake,-114.1839,52.96729,CAN,AB,Battle Lake,4.2
Batty Lake,-111.60912,54.10422,CAN,AB,Ashmont,3.9
Bauers Lake,-111.04902,53.2843,CAN,AB,Claysmore,6.8
Baxter Lakes,-110.70778,52.89214,CAN,AB,Greenshields,11.6
Baxter Lakes,-110.73406,52.92842,CAN,AB,Hope Valley,11
Bayard Lake,-112.39796,57.77009,CAN,AB,Bitumount,61.9
Bayonet Lake,-110.30441,59.92849,CAN,AB,Fitzgerald,72.9
Beacon Lake,-118.27091,52.54032,CAN,AB,Geikie,36.3
Bear Bait Lake,-110.71249,58.17967,CAN,AB,Jackfish,29.2
Bear Lake,-118.98841,55.25529,CAN,AB,Bear Lake,2.9
Bear Lake,-114.8725,54.22449,CAN,AB,Moose Wallow,5.9
Bear Lake,-116.15152,53.744,CAN,AB,Pioneer,3
Bear Lake,-110.22542,54.02127,CAN,AB,Sputinow,11.7
Bear River Reservoir,-118.81434,55.17727,CAN,AB,Grande Prairie,1.4
Bearhills Lake,-113.61705,52.93719,CAN,AB,Brightview,2.1
Bearspaw Reservoir,-114.30116,51.12171,CAN,AB,Bearspaw,1.9
Beartrap Lake,-110.5385,54.20403,CAN,AB,Muriel Lake,4.2
Beatty Lake,-118.04641,59.86334,CAN,AB,Steen River,55.8
Beaudry Lakes,-114.46855,50.39557,CAN,AB,Pekisko,22.2
Beaumaris Facility Stormwater Pond,-113.50923,53.61715,CAN,AB,Campbell,5.5
Beauvais Lake,-114.10003,49.40908,CAN,AB,Beaver Mines,8.8
Beauvallon Lake,-111.35232,53.66128,CAN,AB,Beauvallon,0.9
Beauvert Lake,-118.05958,52.88246,CAN,AB,Jasper Park Lodge,0.4
Beaver Lake,-111.82857,54.71116,CAN,AB,Beaver Lake,7.5
Beaver Lake,-114.78869,52.00632,CAN,AB,Crammond,8.5
Beaver Lake,-117.72511,52.86665,CAN,AB,Jasper Park Lodge,22.4
Beaver Lake,-111.60107,56.98029,CAN,AB,Mildred Lake,5.9
Beaver Mines Lake,-114.2965,49.37277,CAN,AB,Beaver Mines,11.8
Beaverdam Lake,-113.60667,49.08461,CAN,AB,Mountain View,5.6
Beaverhill Lake,-112.47102,53.49738,CAN,AB,Mundare,13.7
Beaverhill Lake,-112.51924,53.36944,CAN,AB,Shonts,5.6
Beaverhill Lake,-112.53897,53.44623,CAN,AB,Tofield,11.9
Behan Lake,-111.56347,55.28874,CAN,AB,Philomena,13
Bell Lake,-114.00702,53.65062,CAN,AB,Calahoo,7.6
Bellis Beach Lake,-112.1526,54.10079,CAN,AB,Bellis,4.7
Bellrose Lake,-116.24121,55.09424,CAN,AB,Arcadia,34.8
Bellshill Lake,-111.557,52.60235,CAN,AB,Bellshill,3.2
Beltz Lake,-112.58348,52.20922,CAN,AB,Sabine,1.7
Belyea Lake,-110.03334,59.51491,CAN,AB,Hay Camp,80.8
Benaman Slough,-113.86971,51.16113,CAN,AB,Rocky View,5.6
Bennett Lake,-110.0651,53.8695,CAN,AB,Sputinow,13.2
Bennett Lake,-112.98922,53.53079,CAN,AB,Uncas,4.7
Bens Lake,-111.85574,53.67439,CAN,AB,Kaleland,6.9
Bentley Lake,-111.05267,54.04482,CAN,AB,St Edouard,7.4
Bentz Lake,-114.84628,51.78888,CAN,AB,Bearberry,9
Berry Creek Reservoir,-111.62487,51.2686,CAN,AB,Sunnynook,4.1
Berry Lake,-114.74478,55.93927,CAN,AB,Wabasca-Desmarais,55.8
Bertha Lake,-113.94316,49.02352,CAN,AB,Waterton Park,3.8
Beryl Lake,-118.13067,52.64833,CAN,AB,Wynd,23.7
Beta Lake,-115.58591,53.73525,CAN,AB,Hattonford,9.2
Bethel Lake,-119.96015,55.60799,CAN,AB,Demmitt,17.4
Betty Lake,-111.02764,52.8405,CAN,AB,Fabyan,5.1
Beyette Lake,-114.18328,54.58622,CAN,AB,Kilsyth,2
Big Chief Lake,-111.64013,55.24034,CAN,AB,Philomena,7.4
Big Island Lake,-112.51113,57.6119,CAN,AB,Bitumount,57.4
Big Island Lake,-113.19705,53.48808,CAN,AB,Wyeclif,4
Big Johnson Lake,-112.58361,54.65359,CAN,AB,Caslan,5.3
Big Lake,-113.71513,53.59936,CAN,AB,Cannell,6.3
Big Muskeg Lake,-112.11231,55.17154,CAN,AB,Avenir,18.1
Big Slough,-113.19306,58.83681,CAN,AB,Big Slough,2.7
Big Snuff Lake,-110.29197,57.40514,CAN,AB,Bitumount,81.2
Bigelow Reservoir,-113.47439,51.89747,CAN,AB,Highland Ranch,8.1
Bingo Lake,-118.32113,56.1695,CAN,AB,Bluesky,11.8
Biollo Lake,-112.06345,54.6745,CAN,AB,Venice,6
Birch Lake,-114.52926,53.75642,CAN,AB,Alexis,2.9
Birch Lake,-113.60099,54.36329,CAN,AB,Analta,1.8
Birch Lake,-110.3916,56.38572,CAN,AB,Christina Crossing,14.7
Birch Lake,-113.75777,58.91518,CAN,AB,Garden Creek,24.6
Birch Lake,-111.57593,53.32431,CAN,AB,Innisfree,7.1
Birch Lake,-117.15398,54.78327,CAN,AB,Little Smoky,5.2
Birch Lake,-111.65666,53.3046,CAN,AB,Ranfurly,11.5
Birch Lake,-114.85537,52.01211,CAN,AB,Ricinus,10.4
Birch Lake,-110.02177,54.03133,CAN,AB,Sputinow,19.6
Birch Lakes,-112.74154,57.60473,CAN,AB,Bitumount,69.8
Birkland Lake,-111.92339,54.77915,CAN,AB,Beaver Lake,2.3
Birston Lake,-114.21695,54.57794,CAN,AB,Kilsyth,4.3
Bisbing Lake,-119.64085,55.25861,CAN,AB,Goodfare,4.8
Bison Lake,-116.16791,57.20313,CAN,AB,Bison Lake,2.5
Bisonhead Lake,-119.1415,58.79855,CAN,AB,Habay,24.5
Bisset Lake,-114.22609,54.93448,CAN,AB,Chisholm,4.6
Bistcho Lake,-118.79538,59.7438,CAN,AB,Steen River,92.3
Bittern Lake,-113.07117,53.04873,CAN,AB,Bittern Lake,4.6
Black Duck Lake,-118.44799,56.18583,CAN,AB,Gage,6.3
Black Duck Lake,-111.50041,54.82153,CAN,AB,Tweedie,20
Black Nugget Mine Pit,-112.53255,53.21778,CAN,AB,Dodds,1.5
Blackbird Lake,-111.7246,54.75703,CAN,AB,Barnegat,7.6
Blackett Lake,-111.56382,54.72971,CAN,AB,Snug Cove,17.3
Blackfalds Lake,-113.72056,52.38723,CAN,AB,Farrant,2.2
Blackfoot Lake,-112.79934,53.52437,CAN,AB,Deville,11.3
Blanche Lake,-111.31269,58.3892,CAN,AB,Embarras Portage,11.7
Blanchet Lake,-113.16066,56.68921,CAN,AB,Chipewyan Lake,33.8
Bleak Lake,-113.46824,54.67197,CAN,AB,Lincoln,2.8
Blefgen Lake,-113.8867,54.85094,CAN,AB,Chisholm,19.2
Blindtrail Lake,-114.7934,52.80811,CAN,AB,Buck Lake,16
Blizzard Lake,-113.76298,50.76714,CAN,AB,Gladys,6.2
Blood Indian Creek Reservoir,-111.20791,51.24918,CAN,AB,Big Stone,5.3
Bloomfield Lake,-114.22665,52.9312,CAN,AB,Battle Lake,7.7
Blue Berry Lake 1,-110.79845,58.12744,CAN,AB,Jackfish,33.2
Blue Berry Lake 2,-110.78945,58.14992,CAN,AB,Jackfish,30.8
Blue Berry Lake 3,-110.76506,58.1519,CAN,AB,Jackfish,31
Blue Berry Lake 4,-110.74502,58.14951,CAN,AB,Jackfish,31.6
Blue Berry Lake 6,-110.79248,58.11279,CAN,AB,Point Brule,33.7
Blue Lake,-117.7988,53.48038,CAN,AB,Old Entrance,13.4
Blue Lake,-116.45829,54.98152,CAN,AB,Sweathouse Creek,27.3
Bluet Lake,-110.56381,53.98965,CAN,AB,Lindbergh,13.4
Boag Lake,-113.21848,53.51834,CAN,AB,Wyeclif,1.5
Bobier Lake,-113.17914,54.54858,CAN,AB,Colinton,9.3
Bocquene Lake,-111.08565,59.47453,CAN,AB,Hay Camp,22.2
Boggy Lake,-114.79242,51.59808,CAN,AB,Water Valley,16.2
Bohn Lake,-110.67353,55.90212,CAN,AB,Pingle,15.2
Bolloque Lake,-113.68369,54.52004,CAN,AB,Meadowbrook,3.3
Bonavista Lake,-114.05173,50.94176,CAN,AB,Midnapore,2.8
Bonnie Lake,-111.86122,54.15229,CAN,AB,Vilna,5.5
Boog Lake,-114.22345,54.39343,CAN,AB,Vega,10
Boom Lake,-116.09536,51.26295,CAN,AB,Eldon,7.7
Boomerang Lake,-117.73772,54.21141,CAN,AB,Fox Creek,63.7
Boone Lake,-119.42782,55.57408,CAN,AB,Homestead,7.9
Borden Lake,-110.56243,53.85805,CAN,AB,Middle Creek,3.6
Border Lake,-110.72209,52.62889,CAN,AB,Buffalo View,5.1
Boucan Lake,-111.22489,54.01556,CAN,AB,St Paul,5.3
Boudin Lake,-110.29916,59.69397,CAN,AB,Hay Camp,68.3
Boundary Lake,-119.99448,56.33336,CAN,AB,Cherry Point,16.4
Boundary Lake,-114.93298,51.21485,CAN,AB,Morley,7.6
Boundary Lake,-119.9962,54.62404,CAN,AB,Sylvester,46
Bourque Lake,-110.54339,54.67285,CAN,AB,Happy Hollow,19.1
Bow Lake,-116.45679,51.66912,CAN,AB,Lake Louise,33.2
Bowden Lake,-114.06806,51.93654,CAN,AB,Bowden,2.3
Bowen Lake,-110.17218,58.24282,CAN,AB,Jackfish,47.7
Bowesman Lake,-117.7636,56.68763,CAN,AB,Dixonville,17.7
Bowhay Lake,-113.65226,59.42752,CAN,AB,Jackfish River,64.7
Brabant Lake,-113.15705,59.61869,CAN,AB,Peace Point,67.8
Brainard Lake,-119.75406,55.39801,CAN,AB,Brainard,1.5
Brander Lake,-110.04588,58.44081,CAN,AB,Jackfish,50.8
Brant Lake,-113.52482,50.53039,CAN,AB,Eltham,6.1
Bray Lake,-112.96289,53.32345,CAN,AB,Lindbrook,13.1
Brayet Lake,-111.89145,54.62882,CAN,AB,Normandeau,11.7
Brazeau Lake,-117.06532,52.40991,CAN,AB,Saskatchewan River Crossing,53.1
Brazeau Reservoir,-115.63013,52.9527,CAN,AB,Brazeau Dam,3.7
Breland Lake,-111.23931,54.03072,CAN,AB,St Paul,5.6
Brereton Lake,-113.83527,54.81235,CAN,AB,Lahaieville,17.4
Bretona Pond,-113.32142,53.44249,CAN,AB,Bretona,1
Bridge Lakes,-113.45002,54.19069,CAN,AB,Anton Lake,5.8
Bridge Lakes,-113.47619,54.18545,CAN,AB,Halfway Lake,6.5
Briker Lake,-110.27872,53.03882,CAN,AB,Paradise Valley,1.3
Brintnell Lake,-114.71371,55.80511,CAN,AB,Widewater,52.7
Brock Lake,-110.43768,59.77861,CAN,AB,Hay Camp,64.3
Brock Lake,-114.84291,53.81434,CAN,AB,Stanger,4.7
Brodick Lake,-112.43487,54.20412,CAN,AB,Smoky Lake,9.9
Brokenleg Lake,-115.06908,51.18567,CAN,AB,Ozada,8.6
Brown Lake,-111.63255,54.72108,CAN,AB,Barnegat,14.8
Bruce Lake,-114.24075,54.94225,CAN,AB,Chisholm,5.9
Bruce Lake,-110.96899,52.38276,CAN,AB,Craigmillar,9.1
Brule Lake,-117.85242,53.28513,CAN,AB,Brule,1.1
Brutus Lake,-111.01291,57.97704,CAN,AB,Point Brule,19.8
Bryant Lake,-110.24993,59.30572,CAN,AB,Hay Camp,73
Bryson Lake,-111.38924,53.31451,CAN,AB,Minburn,1.7
Buchan Lake,-114.94027,59.99314,CAN,AB,Indian Cabins,117.5
Buchanan Lake,-113.75868,58.58866,CAN,AB,Garden Creek,14.7
Buck Lake,-114.76278,52.98531,CAN,AB,Buck Lake,3.8
Buckinghorse Lake,-113.89617,53.14927,CAN,AB,Glen Park,5.1
Buffalo Lake,-112.89591,52.48362,CAN,AB,Bashaw,12.1
Buffalo Lake,-118.97434,55.37981,CAN,AB,Buffalo Lake,3.1
Buffalo Lake,-112.47689,54.51203,CAN,AB,Caslan,13.4
Buffalo Lake,-111.83403,55.12258,CAN,AB,Pitlochrie,13.1
Bulldog Lake,-111.31826,56.20046,CAN,AB,Kinosis,26.6
Bullshead Reservoir,-110.50627,49.67815,CAN,AB,Tothill,7.3
Bunder Lake,-111.7076,54.28542,CAN,AB,Boyne Lake,5.6
Burdett Lake,-111.56047,49.80218,CAN,AB,Burdett,4
Burke Lake,-113.14009,53.46575,CAN,AB,Cooking Lake,6.2
Burnstick Lake,-114.88378,51.98687,CAN,AB,Ricinus,11.8
Burnt Lake,-110.42827,54.80671,CAN,AB,Bank Bay,29.1
Burnt Lake,-112.31248,54.68929,CAN,AB,Noral,5.1
Burnt Lakes,-113.93033,57.29045,CAN,AB,Chipewyan Lake,47.7
Burrison Lake,-113.67202,59.1383,CAN,AB,Big Slough,45.7
Burstall Lake,-110.19258,59.34478,CAN,AB,Hay Camp,74.7
Busby Lake,-118.14625,53.36907,CAN,AB,Shale Banks,15.3
Bush Lake,-119.35219,55.28234,CAN,AB,Poplar Hill,7.5
Bushy Head Lake,-110.90974,52.84094,CAN,AB,Wainwright,3.6
By The Lake Park,-113.40669,52.97647,CAN,AB,Wetaskiwin,2.1
Byers Lake,-111.52208,52.67498,CAN,AB,Lougheed,7.8
Cabin Lake,-111.18018,51.03573,CAN,AB,Cabin Lake,4.5
Cabin Lake,-110.23436,53.67358,CAN,AB,Tulliby Lake,5.8
Cache Lake,-112.10102,54.90205,CAN,AB,Lac La Biche Mission,8.7
Cache Lake,-117.80061,53.48955,CAN,AB,Old Entrance,14.4
Cache Lake,-111.91265,54.93439,CAN,AB,Owl River,5.6
Cache Lake,-111.77911,54.09996,CAN,AB,Spedden,5.5
Cadotte Lake,-116.39294,56.44418,CAN,AB,Cadotte Lake,2.7
Cairn Lakes,-117.15866,52.70504,CAN,AB,Grave Flats,25.4
Cairns Lake,-110.76502,53.09557,CAN,AB,Wildmere,5.9
Calahoo Lake,-119.95989,54.85732,CAN,AB,Sylvester,23.5
Calder Lake,-111.14249,53.93577,CAN,AB,St Edouard,6.3
Calder Lake,-114.70147,55.87808,CAN,AB,Wabasca-Desmarais,54
Caldron Lake,-116.56425,51.69615,CAN,AB,Saskatchewan River Crossing,33.4
Caledonia Lake,-118.16188,52.86715,CAN,AB,Wynd,2
Calling Lake,-113.3077,55.24241,CAN,AB,Calling Lake,7.7
Calumet Lake,-111.76677,57.41642,CAN,AB,Bitumount,7.9
Cameron Lake,-110.66837,53.60306,CAN,AB,Clandonald,4.6
Cameron Lake,-114.05049,49.00814,CAN,AB,Waterton Park,11.1
Cameron Lakes,-114.02962,53.63448,CAN,AB,Bilby,9.2
Camp Lake,-113.08197,54.5256,CAN,AB,Kinikinik,8.4
Camp Lake,-111.53074,53.12643,CAN,AB,Philips,11.7
Camp Lake,-111.47976,53.97669,CAN,AB,St Brides,4.4
Campbell Lake,-110.74136,53.50258,CAN,AB,Clandonald,7.9
Campbell Lake,-110.5383,56.64202,CAN,AB,Lenarthur,34.6
Camping Lakes,-113.10668,54.84739,CAN,AB,Big Coulee,11.8
Camsell Lake,-110.18428,59.90635,CAN,AB,Fitzgerald,79.5
Canalta Slough,-112.16069,51.04164,CAN,AB,Gem,10.3
Canoe Lake,-111.01884,56.45888,CAN,AB,Anzac,1.5
Canoe Lake,-110.37687,54.96379,CAN,AB,Behan,34.9
Canoe Lake,-113.12513,54.62141,CAN,AB,Kinikinik,8.2
Canyon Lake,-113.82224,50.04963,CAN,AB,Lyndon,4.4
Captain Eyre Lake,-110.71467,52.29952,CAN,AB,Cousins,9.6
Cardiff Park Pond,-113.58494,53.76379,CAN,AB,Cardiff,1.4
Cardinal Lake,-111.66542,54.57763,CAN,AB,Normandeau,4.3
Cardinal Lake,-111.33196,54.04433,CAN,AB,St Paul,6.2
Cardinal Lake,-117.73509,56.24077,CAN,AB,Warrensville,8.5
Carey Lake,-111.54959,54.05124,CAN,AB,St Brides,6.5
Caribou Horn Lake,-110.98002,56.52376,CAN,AB,Lenarthur,4.7
Caribou Lake,-110.86487,55.08669,CAN,AB,Behan,34.9
Caribou Lake,-116.08022,59.06857,CAN,AB,Boyer,68.3
Caribou Lake,-115.34103,54.40139,CAN,AB,Lone Pine,18.1
Caribou Lake,-111.94522,55.49205,CAN,AB,Margie,38.9
Carmon Lake,-116.80619,56.35203,CAN,AB,Three Creeks,17.1
Carrier Lake,-111.54767,53.08533,CAN,AB,Philips,7.4
Carroll Lakes,-111.66366,54.12162,CAN,AB,Spedden,4.5
Carrot Lake,-113.3962,56.97527,CAN,AB,Chipewyan Lake,6.1
Cattail Lake,-110.37065,57.39294,CAN,AB,Bitumount,76.4
Cattail Lake,-117.70479,55.35187,CAN,AB,Whitemud Creek,22.1
Cavan Lake,-110.40601,49.93504,CAN,AB,Irvine,9.5
Cavell Lake,-118.06132,52.69807,CAN,AB,Wynd,18.8
Cawes Lake,-113.43803,53.38722,CAN,AB,Beaumont,4.1
Celestine Lake,-118.04743,53.18723,CAN,AB,Devona,5.2
Chain Lake,-110.0081,59.64041,CAN,AB,Hay Camp,83.1
Chain Lakes,-113.44339,52.58701,CAN,AB,Clive,12.4
Chain Lakes,-119.93628,55.40062,CAN,AB,Demmitt,6.6
Chain Lakes,-112.15103,51.8031,CAN,AB,Dowling Lake,3.1
Chain Lakes,-113.51248,54.9865,CAN,AB,Grosmont,14
Chain Lakes,-111.20067,56.21433,CAN,AB,Kinosis,19.9
Chain Lakes,-113.46136,52.60908,CAN,AB,Ponoka,10.9
Chain Lakes Reservoir,-114.20855,50.24071,CAN,AB,Pekisko,21.6
